,plot
14,"Will Graham is a former FBI agent who recently retired to Florida with his wife Molly and their young son. Graham was a 'profiler'; one who profiles criminal's behavior and tries to put his mind into the minds of criminals to examine their thoughts while visiting crime scenes. Will is called out of his self-imposed retirement at the request of his former boss Jack Crawford to help the FBI catch an elusive serial killer, known to the press as the 'Tooth Fairy', who randomly kills whole families in their houses during nights of the full moon and leaves bite marks on his victims. To try to search for clues to get into the mind of the killer, Will has occasional meetings with Dr. Hannibal Lecktor, a charismatic but very dangerous imprisoned serial killer that Will captured years earlier which nearly drove him insane from the horrific encounter that nearly cost Will's life. With some help and hindrance, Will races against the clock before the next full moon when the 'Tooth Fairy' will strike again. Elsewhere, a local photographer named Francis Dollarhyde, the killer that Will is looking for, struggles to stay undetected while seeing a hope of redemption when be begins a relationship with a blind woman who is not aware of his double life."
15,"An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated."
16,"When Earth passes through the tail of Rea-M rogue comet, the machines come to life and threaten and kill the mankind. A group of survivors is under siege of fierce trucks in the Dixie Boy truck stop in a gas station and they have to fight to survive."
17,"Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day as Seymour is seeking a new mysterious plant, he finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper. Soon enough, Seymour feeds Audrey's sadistic dentist boyfriend to the plant and later, Mushnik for witnessing the death of Audrey's ex. Will Audrey II take over the world or will Seymour and Audrey defeat it?"
18,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh stabs the decent teenager Jamie Hankins to death for being intimate with a girl whom Walsh wants for himself, the mysterious Jake Kesey arrives, an extremely cool motor-biker with an invincible car. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Billy under his wing and manages what Sheriff Loomis can not - the methodical and otherworldly elimination of Packard's criminal gang."
19,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...
20,A massive ball of furry creatures from another world eat their way through a small mid-western town followed by intergalactic bounty hunters opposed only by militant townspeople.
21,"Millionaire businessman Thornton Melon is upset when his son Jason announces that he is not sure about going to college. Thornton insists that college is the best thing he never had for himself, and to prove his point, he agrees to enroll in school along with his son. Thornton is a big hit on campus: always throwing the biggest parties, knowing all the right people, but is this the way to pass college?"
22,"Radio DJ Vanita 'Stretch' Brock's open request night is plagued by the annoying phone pranking of two road tripping, party-hard, hoodlums, but things take a disturbing turn when the hoodlums meet their demise at the hands of familiar chainsaw wielding maniacs. With the entire gruesome ordeal recorded on tape, Stretch seeks out the help of a former Texas Marshall who's on a personal quest of vengeance against this family of cannibals. While at first he turns her down, he eventually decides to use her tape to his advantage, asking her to air it during her request block- effectively baiting the cannibals to the radio station where he'll personally deal with them."
23,"1983. Tom Highway is a well-decorated career military man in the United States Marine Corps, he who has seen action in Korea and Vietnam. His current rank is Gunnery Sergeant. His experiences have led him to become an opinionated, no nonsense man, who is prone to bursts of violence, especially when he's drunk, if the situation does not suit him, regardless of the specifics or people involved. Because of these actions, he has spent his fair share of overnighters behind bars. Close to retirement, one of his last assignments, one he requested, is back at his old unit at Cherry Point, North Carolina, from where he was transferred for insubordination. He is to train a reconnaissance platoon. His superior officer, the much younger and combat inexperienced Major Malcolm Powers, sees Highway as a relic of an old styled military. Highway's commanding officer, Lieutenant Ring, the platoon leader, is also a younger man who has no combat experience, but is academically inclined and happy-go-lucky. Highway finds that his team is a rag-tag bunch of slackers, who includes wannabe rock musician Stitch Jones, with who Highway had an inauspicious earlier meeting. The men in the platoon, who truly believe Highway is crazy, hate him, and don't understand why they have to follow his harsh training regimen when the United States is not currently at war. The major, who is all about efficiency regardless of combat readiness, has the same views of Highway. He is clear that he sees Highway's platoon solely as a training mechanism for his own elite squad trained by Highway's nemesis, Staff Sergeant Webster. Things for Highway and his platoon change when the United States enters into war in Grenada. Through it all, Highway tries to reconnect with his bar waitress ex-wife Aggie, he even clandestinely reading women's magazines to understand her better. Two primary obstacles stand in his way: Roy Jennings, Aggie's boss and current suitor who hates Marines, and Aggie's own remembrance of how dysfunctional their marriage was."
24,"The most acclaimed Star Trek adventure of all time with an important message. It is the 23rd century, and a mysterious alien probe is threatening Earth by evaporating the oceans and destroying the atmosphere. In their frantic attempt to save mankind, Admiral Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien to them as anything they have ever encountered in the far-off reaches of the galaxy. William Shatner and Leonard Nimoy return as Kirk and Spock, along with the entire Star Trek crew."
25,"Eddie Murphy plays a detective with a speciality of finding lost children. He is told he is the 'Chosen one' who will find and protect the Golden Child, a Bhuddist mystic who was kidnapped by an evil sorcerer. Murphy disbelieves the mysticism but finds more and more evidence of demon worship as he investigates."
26,"A group of high school friends must come to terms with the fact that one of them, Samson, killed another, Jamie. Reactions vary, as Layne is intent on protecting Samson and smuggling him out of the state, while others think it's best to go to the police. Matt's tough little brother also finds out about the body and no one knows quite how the police will learn about the murder or who will be blamed for it."
27,"Three out of work silent movie actors are accidentally drawn to a Mexican village that is being harassed by a gang of outlaws. The three, 'Ned', 'Lucky Day' and 'Dusty Bottoms' play 'Lone Ranger' types in their movies, but must play their parts for real now."
28,"A gang of neo-fascist thugs, led by the self-proclaimed 'Night Slasher', are breaking into people's homes & cars, then killing them at random. When of of these thugs holds up a food store & takes hostages, Lt. Marian Cobretti - an intense, take-no-prisoners cop, is brought onto the scene to end the hostage-taking. Ranting bizarrely about a 'New World', the man levels a sawed-off shotgun at Cobretti, who hits him with a knife, then guns him down when the man refuses to put down his weapon. Later that night, another murder occurs, attributed to the Night Slasher - and the next day, another one. This one is witnessed by a young woman, Ingrid Knutsen. She drives away before the thugs can kill her, but it isn't long before some creepy-looking people start making attempts on her life - and Cobretti's. Cobretti plans to move the only witness to the blood spree upstate, but with inside information, the thugs follow them. And a battle for survival rages between Cobretti and the thugs..."
29,"Jeremy Irons plays a Spanish Jesuit who goes into the South American wilderness to build a mission in the hope of converting the Indians of the region. Robert DeNiro plays a slave hunter who is converted and joins Irons in his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors."
30,"Pool hustler Fast Eddie Felson finds the young, promising pool player Vincent in a local bar and he sees in him a younger version of himself. To try and make it as in the old days, Eddie offers to teach Vincent how to be a hustler. After some hesitations Vincent accepts and Eddie takes him and Vincent's girlfriend Carmen on a tour through the country to work the pool halls. However, Vincent's tendency to show off his talent and by doing so warning off the players and losing money, soon leads to a confrontation with Eddie."
31,"A young man transporting a car to another state is stalked along the road by a cunning and relentless serial killer who eventually frames the driver for a string of murders. Chased by police and shadowed by the killer, the driver's only help comes from a truck stop waitress."
32,"Walter Fielding and Anna Crowley have to start looking for a new house- but there's not much they can afford! This soon changes when they meet a lonely old con artist who sells them a beautiful mansion at a ridiculously low price. Only there's a catch. The second they move into the house it falls apart, starting with the stairway collapsing to the bathtub falling through the floor to eventually the chimney falling into the house! Finally, they have to renovate the house before the frame collapses but the renovations also prove to be a disaster."
33,N/A
34,"An eccentric and dogmatic inventor sells his house and takes his family to Central America to build a utopia in the middle of the jungle. Conflicts with his family, a local preacher and with nature are only small obstacles to his obsession. Based upon a Paul Theroux novel."
35,"Morbid biographical story of Sid Vicious, bassist with British punk group the Sex Pistols, and his girlfriend Nancy Spungen. When the Sex Pistols break up after their fateful US tour, Vicious attempts a solo career while in the grip of heroin addiction. One morning, Nancy is found stabbed to death and Sid is arrested for her murder."
36,"A giant ape King Kong, which was shot and fell off the World Trade Center tower, appears to be alive, but is in coma for 10 years and desperately needs a blood transfusion in order to have an artificial heart implanted. Suddenly, in the rainforest, another gigantic ape is found - this time a female. She is brought to the USA, and the heart is successfully implanted. But then King Kong, having sensed the female ape, breaks loose."
37,"Dr. Edward Pretorius and his assistant, the physician Crawford Tillinghast, have developed the Resonator, a machine to stimulate the sixth sense through the pineal gland. When Crawford activates the apparatus, he sees creatures flying in the air and he summons Dr. Pretorius. The experiment goes out of control and Dr. Pretorius refuses to turn off the Resonator. Meanwhile their neighbor calls the police, and when the police officers arrive, they see Crawford trying to escape from his house and Dr. Pretorius beheaded. Crawford is sent to a mental institution under the supervision of the sadistic Dr. Bloch. However, the prominent psychiatrist Dr. Katherine McMichaels requests the custody of Crawford and Detective Bubba Brownlee that is investigating the case stays with them. Katherine goes with Crawford and Bubba to see the Resonator and turns the machine on. Dr. Pretorius returns in a mutant shape and attacks them, in the beginning of a gore night with weird life forms."
38,"A 43-year-old mother and housewife who's facing divorce is thrust back in time when she attends her high-school reunion. Given the chance to change the course of her life, she finds herself making many of the same choices."
39,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne; but the love of her family and the power of psychic Tangina once again unite, along with an elderly native American, to fight for her life."
40,"The Potter family has just moved to a rented apartment in San Francisco. Harry Potter Sr. and his wife Anne are bringing the packages to the apartment and their son Harry Jr. and their little daughter Wendy Anne stays on the sidewalk. Wendy goes to the laundry room, she meets the wicked troll Torok that uses his magic ring to possess Wendy and to use her form to transform the dwellers and their apartment into other trolls and his kingdom. Harry Jr. feels that something is wrong with his sister and seeks out help with the good witch Eunice St. Clair that lives in the building."
41,"Loosely based on serial killer Henry Lee Lucas, the film follows Henry and his roommate Otis who Henry introduces to murdering randomly selected people. The killing spree depicted in the film starts after Otis' sister Becky comes to stay with them. The people they kill are strangers and in one particularly gruesome attack, kill all three members of a family during a home invasion. Henry lacks compassion in everything he does and isn't the kind to leave behind witnesses - of any kind."
42,"American kids go to a space camp during the summer holidays. They learn how to operate the Space Shuttle. A team consisting of a guy who just entered to meet girls, a wanna be astronaut and an instructor who wanted to go on a mission instead of teaching can sit in the Shuttle while testing the engines. Then they're launched by mistake ..."
43,"Hannah, Holly and Lee are adult sisters from a show business family, their boozy actress mother who still believes she's an ingénue that can attract any man she wants, despite still being married to the girls' father, Evan. Hannah, on her second marriage to a man named Elliot, a financial advisor, is the success of the family, taking a break from her acting career to raise her children. Everyone turns to her for advice, while she never talks to others about what she needs or feels. Her first husband, Mickey, is a comedy show writer and hypochondriac, who is going through a crisis as he mistakenly believes he will die soon without a clear belief, as a non-practicing Jew, of what will happen to him in the afterlife. Single Holly is the insecure flaky sister, a struggling and thus continually unemployed actress, who has just started a catering business with her actress friend April, in order to do something constructive with her life. In her own security, Hannah even set up Holly and Mickey together following her own break-up with Mickey, Holly and Mickey's sole date which arguably was the worst night in both their lives. Holly turns to Hannah for everything in her life, including money, despite feeling Hannah overly judgmental about her failures. It's during a catering job that Holly and April meet David, an architect, who seems interested in both of them. Holly's insecurities may threaten her potential relationship with David and friendship with April. Lee, who collects unemployment, is metaphorically the family's piece of clay waiting for the right artist to mold her. She has long lived with artist Frederick, who has contempt for everyone except her, and as such relies on her for whatever his connection to the outside world. This already complex collective becomes even more complex when Elliot contemplates telling Lee that he has fallen in love with her. His attraction to her is as much feeling unneeded by Hannah, who he does not want to hurt regardless of what he decides to do with respect to Lee."
44,"In Victorian London, England, a little mouse girl's toymaker father is abducted by a peglegged bat. She enlists the aid of Basil of Baker Street, the rodent world's answer to Sherlock Holmes. The case expands as Basil uncovers the crime's link to a plot against the Crown itself."
45,"Mark Kaminski is kicked out of the FBI for his rough treatment of a suspect. He winds up as the sheriff of a small town in North Carolina. FBI Chief Harry Shannon, whose son has been killed by a mobster named Luigi Patrovita, enlists Kaminski in a personal vendetta with a promise of reinstatement into the FBI if Patrovita is taken down. To accomplish this, Kaminski must go undercover and join Patrovita's gang."
46,"This theatrical movie based on the television series (which was also based on a popular multiform robot toyline) did not go over very well at the box office. The movie takes place in 2005, twenty years after the television series, and chronicles the efforts of the heroic Autobots to defend their homeworld Cybertron from the evil Decepticons. Both factions are seething with anger, and that hatred has blinded them to a hideous menace headed their way. That hideous menace is the colossal planet known as Unicron, who has been ready to consume anything that stands in its way. The only thing that can stop Unicron is the Autobot Matrix of Leadership, which is possessed by the Autobots and which the Decepticons, through Unicron's orders, plan to take away from them."
47,"In 1959, an alien experiment crashes to earth and infects a fraternity member. They freeze the body, but in the modern day, two geeks pledging a fraternity accidentally thaw the corpse, which proceeds to infect the campus with parasites that transform their hosts into killer zombies."
48,"In this remake of the classic 50s SF tale, a boy tries to stop an invasion of his town by aliens who take over the the minds of his parents, his least-liked schoolteacher and other townspeople. With the aid of the school nurse the boy enlists the aid of the U.S. Marines."
49,"Based on the true story of a small-town Indiana team that made the state finals in 1954, this movie chronicles the attempts of a coach with a spotty past, and the town's basketball-loving drunk to lead their high school team to victory."
50,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970s. Their criminal activities ranged from burglary, theft... and ultimately, murder."
51,"An autobiographical look at the breakup of Ephron's marriage to Carl ""All the President's Men"" Bernstein that was also a best-selling novel. The Ephron character, Rachel is a food writer at a New York magazine who meets Washington columnist Mark at a wedding and ends up falling in love with him despite her reservations about marriage. They buy a house, have a daughter, and Rachel thinks they are living happily ever after until she discovers that Mark is having an affair while she is waddling around with a second pregnancy."
52,"At a time in prehistory when Neanderthals shared the Earth with early Homo sapiens, a band of cave-dwellers adopt blond and blue-eyed Ayla, a child of the ""Others"". As Ayla matures into a young woman of spirit and courage (unlike other women of the clan), she must fight for survival against the jealous bigotry of Broud, who will one day be clan leader. Based on Jean M. Auel's popular book, there is minimal narration; subtitles translate the Neanderthal gestures and primitive spoken language."
53,"When the terrorists Abdul Rafai and Mustafa hijack a Boeing 707 in Athenas with 144 passengers and crew, they use a grenade to force Captain Campbell to fly to Beirut, Lebanon, instead of to Rome and New York. Meanwhile the Delta Force commanded by Colonel Nick Alexander and Major McCoy are assigned to resolve the situation. Abdul and Mustafa separate the Jewish and Marine passengers and they are transported to Beirut, while twelve other terrorists embark on board. Then they fly to Algiers, where the women and children are released. McCoy and the Delta Force team are prepared to attack the plane when Alexander learns that there are now fourteen terrorists on board and not only two, and he aborts the mission. Abdul kills a Marine and returns to Beirut with the male passengers on board. Now the Delta Force needs to act in two locations crowded of terrorists to release the hostages. Will they succeed?"
54,"Hunt Stevenson works for a large car manufacturer that has just been bought out by a Japanese firm. Suddenly finding himself having to justify his own job, he's forced to choose between redundancy or the seemingly inhuman Japanese work ethic that the new owners have brought with them."
55,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner."
56,"In an attempt of resocialisation, five hopeless juvenile criminals are sent away from prison into the Everglades for a survival training under the Indian Joe. When this is successful, they move back to Miami. However this offends the former illegal inhabitants of their house, all loyal customers of drug baron Cream. The conflict leads to armed fights."
57,"Frank Dooley (John Candy) , a cop wrongly sacked for corruption, teams up with a useless defense lawyer named Herman Kane (Eugene Levy) in their new careers... as security guards. When the two are made fall guys for a robbery at a location they are guarding, the pair begin to investigate corruption within the company and their union. They soon make enemies of everyone, but can the unlikely duo save the day ?"
58,"DJ Zack and pimp Jack end up in prison for being too laid-back to avoid being framed for crimes they didn't commit. They end up sharing a cell with eccentric Italian optimist Roberto, whose limited command of the English language is both entertaining and infuriating. More useful to them is the fact that Roberto knows an escape route."
59,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double crosses him, he uses his special effects to trap the gangster and the corrupt agents."
60,A high school prodigy builds an atomic bomb with stolen plutonium to win the 45th National Science Fair and expose a nuclear weapons lab posing as nuclear medicine in Ithaca NY.
61,"A group of eight college friends gather together at an island mansion belonging to heiress Muffy St. John to celebrate their final year of school. They soon discover that each has a hidden secret from their past which is revealed, and soon after, they turn up dead. Yet, are they really dead? Or is it just part of some very real and cruel April Fool's jokes? The hostess, Muffy, is the only one who apparently knows what's going on. But then again, is it really her doing the killing?"
62,"In a future in which most water has disappeared from the Earth, we find a group of children, mostly teenagers, who are living at an orphanage, run by the despotic rulers of the new Earth. The group in question plays a hockey based game on roller skates and is quite good. It has given them a unity that transcends the attempts to bring them to heel by the government. Finding an orb of special power, they find it has unusual effects on them. They escape from the orphanage (on skates) and try to cross the wasteland looking for a place they can live free as the stormtroopers search for them and the orb."
63,N/A
64,"Harry and Archie are released from prison ready to collect their Social Security. How could they get into trouble at their age? Let's count the ways; A parole officer who is a famous criminal groupie, Dead end where people don't know they are dealing with dangerous, though older, criminals, a hit man who can barely see, but who still has an outstanding contract on them. Does anyone still rob trains?"
65,"Jack Dundee is a meek banker living in Taft, California. He constantly thinks about the 1972 high school football game between Taft and powerhouse Bakersfield. Dundee drops a perfect pass from quarterback and friend Reno Hightower, and the game ended in a tie. He wants to replay the game, but has trouble convincing Reno and the town to replay the game. So Jack resorts to desperate measures to make the game reality."
66,"At a party, a guest brings out a Ouija board, and they attempt to contact a spirit he knows. The spirit does appear, but it becomes apparent to the one who brought the Ouija board that this is an evil spirit that is impersonating his spirit, and despite warnings not to use the board alone, a woman uses it alone, and becomes harassed by the evil spirit, his goal to possess her so he can walk the earth again."
67,"Beverly Hills couple Barbara and Dave Whiteman are very rich but not happy Dave is a hard working business man, his wife is only interested in yoga, aerobics and other meditation classes, and he sleeps with the house maid. Their teenage son is confused about his sexuality and their daughter is suffering from eating disorders. While they are celebrating thanksgiving having plenty of food, street tramp Jerry is hungry, homeless, sleeping rough and has lost his dog. Jerry decides to end his life by drowning himself in their swimming pool. Dave rescues him and invites him to stay for a while. How does this stranger change the life style of this family?"
68,"The death of King Henry VIII throws his kingdom into chaos because of succession disputes. His weak son Edward, is on his deathbed. Anxious to keep England true to the Reformation, a scheming minister John Dudley marries off his son, Guildford to Lady Jane Grey, whom he places on the throne after Edward dies. At first hostile to each other, Guildford and Jane fall in love. But they cannot withstand the course of power which will lead to their ultimate downfall."
69,"Scudder is a detective with the Sheriff's Department who is forced to shoot a violent suspect during a narcotics raid. The ensuing psychological aftermath of this shooting worsens his drinking problem and this alcoholism causes him to lose his job, as well as his marriage. During his recovery through Alcoholics Anonymous, he meets a mysterious stranger who draws him back into a world of vice. In trying to help this beautiful woman, he must enter a crime-world of prostitution and drugs to solve a murder, while resisting the temptation to return to his alcohol abuse."
70,"Max Donigan sets off on a treasure hunt with his friend Leo and newly-acquired partner Patricia, who provided the treasure map. Along the way they encounter a few bar fights, evil ""coyotes"", and other obstacles they are able to overcome with ease. When they find the temple with the treasure, they also find the Firewalker, who wants to retain the power of his ancestors and put an end to the trio's treasure hunt. In the end, Max and his two friends persevere and return home wealthy."
71,"Two fraternity pledges go to a sleazy bar looking for strippers to entertain their college friends. They have problems with transportation, Biker gangs, and worst of all, the staff of the bar, all of whom seem to be vampires, with Grace Jones playing the head vampire."
72,"Injured while risking his life to save an angry German shepard, Chicago Firefighter Jack Moniker retires and moves to a small carribean island named St. Nicholas. There, he is befriended by the owner of a run-down resort, Ernest Reed. Greedy developers are schemeing to wrest Reed's coveted beach front property from him for non-payment of taxes. Jack comes to Ernest's rescue, and together they renovate and reopen the resort catering to affluent Americans. The film follows the zany exploits of the proprietors, guests and various colorful island denizans, as they break in the new ""Club Paradise""."
73,"District Attorney Tom Logan is set for higher office, at least until he becomes involved with defence lawyer Laura Kelly and her unpredictable client Chelsea Deardon. It seems the least of Chelsea's crimes is the theft of a very valuable painting, but as the women persuade Logan to investigate further and to cut some official corners, a much more sinister scenario starts to emerge."
74,"Harry Valentini and Moe Dickstein are goons for the Newark mob boss Castelo. They are sent to the race track to place a bet on a horse but screw it up by betting on the wrong horse. Now they owe $250,000 but they separately get an offer to work it off; by killing the other one. Together they go off to Atlantic City where Harry's mobster uncle Mike may be able to bail them out."
75,"Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai."
76,"Pete St. John is a powerful and successful political consultant, with clients spread around the country. When his long-time friend and client, Ohio senator Sam Hastings, decides to quit politics, he is rapidly drafted to help with the campaign of the man destined to succeed him, unknown and mysterious businessman Jerome Cade. In parallel, and unaware of the potential dangers, he proceeds to unravel the mystery surrounding Hastings dropping out, with the aide of his ex-wife, a prominent Washington-based journalist. But interests more powerful than local arm wrestling are at stake, and things start going awry."
77,"Three sisters with quite different personalities and lives reunite when the youngest of them, Babe, has just shot her husband. The oldest sister, Lenny, takes care of their grandfather and is turning into an old maid, while Meg, who tries to make it in Hollywood as a singer/actress, has had a wild life filled with many men. Their reunion causes much joy, but also many tensions."
78,"Charles Bronson plays Jack Murphy a veteran police detective who is framed for the murder of his ex-wife. Although taken into custody, Murphy escapes from the police station handcuffed to a foul-mouthed car thief. Pursued by the police, Murphy must find the real killer before it is too late."
